image_id class_id super_class_id path
1 1 1 bicycle_final/111085122871_0.JPG
2 1 1 bicycle_final/111085122871_1.JPG
3 1 1 bicycle_final/111085122871_2.JPG
4 1 1 bicycle_final/111085122871_3.JPG
5 1 1 bicycle_final/111085122871_4.JPG
6 1 1 bicycle_final/111085122871_5.JPG
7 1 1 bicycle_final/111085122871_6.JPG
8 1 1 bicycle_final/111085122871_7.JPG
9 2 1 bicycle_final/111265328556_0.JPG
10 2 1 bicycle_final/111265328556_1.JPG
11 2 1 bicycle_final/111265328556_2.JPG
12 2 1 bicycle_final/111265328556_3.JPG
13 2 1 bicycle_final/111265328556_4.JPG
14 2 1 bicycle_final/111265328556_5.JPG
15 2 1 bicycle_final/111265328556_6.JPG
16 3 1 bicycle_final/111265348817_0.JPG
17 3 1 bicycle_final/111265348817_1.JPG
18 3 1 bicycle_final/111265348817_2.JPG
19 3 1 bicycle_final/111265348817_3.JPG
20 3 1 bicycle_final/111265348817_4.JPG
21 4 1 bicycle_final/111375616144_0.JPG
22 4 1 bicycle_final/111375616144_1.JPG
23 4 1 bicycle_final/111375616144_2.JPG
24 4 1 bicycle_final/111375616144_3.JPG
25 4 1 bicycle_final/111375616144_4.JPG
26 4 1 bicycle_final/111375616144_5.JPG
27 4 1 bicycle_final/111375616144_6.JPG
28 4 1 bicycle_final/111375616144_7.JPG
29 4 1 bicycle_final/111375616144_8.JPG
30 5 1 bicycle_final/111469262153_0.JPG
31 5 1 bicycle_final/111469262153_1.JPG
32 6 1 bicycle_final/111476691561_0.JPG
33 6 1 bicycle_final/111476691561_1.JPG
34 6 1 bicycle_final/111476691561_2.JPG
35 6 1 bicycle_final/111476691561_3.JPG
36 6 1 bicycle_final/111476691561_4.JPG
37 6 1 bicycle_final/111476691561_5.JPG
38 6 1 bicycle_final/111476691561_6.JPG
39 6 1 bicycle_final/111476691561_7.JPG
40 6 1 bicycle_final/111476691561_8.JPG
41 6 1 bicycle_final/111476691561_9.JPG
42 7 1 bicycle_final/111502876121_0.JPG
43 7 1 bicycle_final/111502876121_1.JPG
44 7 1 bicycle_final/111502876121_10.JPG
45 7 1 bicycle_final/111502876121_11.JPG
46 7 1 bicycle_final/111502876121_2.JPG
47 7 1 bicycle_final/111502876121_3.JPG
48 7 1 bicycle_final/111502876121_4.JPG
49 7 1 bicycle_final/111502876121_5.JPG
50 7 1 bicycle_final/111502876121_6.JPG
51 7 1 bicycle_final/111502876121_7.JPG
52 7 1 bicycle_final/111502876121_8.JPG
53 7 1 bicycle_final/111502876121_9.JPG
54 8 1 bicycle_final/111570592148_0.JPG
55 8 1 bicycle_final/111570592148_1.JPG
56 9 1 bicycle_final/111579336659_0.JPG
57 9 1 bicycle_final/111579336659_1.JPG
58 9 1 bicycle_final/111579336659_2.JPG
59 9 1 bicycle_final/111579336659_3.JPG
60 10 1 bicycle_final/111584821699_0.JPG
61 10 1 bicycle_final/111584821699_1.JPG
62 10 1 bicycle_final/111584821699_2.JPG
63 11 1 bicycle_final/111588452395_0.JPG
64 11 1 bicycle_final/111588452395_1.JPG
65 11 1 bicycle_final/111588452395_2.JPG
66 12 1 bicycle_final/111606776603_0.JPG
67 12 1 bicycle_final/111606776603_1.JPG
68 12 1 bicycle_final/111606776603_2.JPG
69 13 1 bicycle_final/111611735309_0.JPG
70 13 1 bicycle_final/111611735309_1.JPG
71 13 1 bicycle_final/111611735309_2.JPG
72 14 1 bicycle_final/111612717975_0.JPG
73 14 1 bicycle_final/111612717975_1.JPG
74 14 1 bicycle_final/111612717975_2.JPG
75 14 1 bicycle_final/111612717975_3.JPG
76 14 1 bicycle_final/111612717975_4.JPG
77 14 1 bicycle_final/111612717975_5.JPG
78 15 1 bicycle_final/111620439270_0.JPG
79 15 1 bicycle_final/111620439270_1.JPG
80 15 1 bicycle_final/111620439270_2.JPG
81 15 1 bicycle_final/111620439270_3.JPG
82 15 1 bicycle_final/111620439270_4.JPG
83 15 1 bicycle_final/111620439270_5.JPG
84 16 1 bicycle_final/111645993618_0.JPG
85 16 1 bicycle_final/111645993618_1.JPG
86 16 1 bicycle_final/111645993618_2.JPG
87 16 1 bicycle_final/111645993618_3.JPG
88 17 1 bicycle_final/111646738161_0.JPG
89 17 1 bicycle_final/111646738161_1.JPG
90 17 1 bicycle_final/111646738161_2.JPG
91 17 1 bicycle_final/111646738161_3.JPG
92 17 1 bicycle_final/111646738161_4.JPG
93 17 1 bicycle_final/111646738161_5.JPG
94 17 1 bicycle_final/111646738161_6.JPG
95 17 1 bicycle_final/111646738161_7.JPG
96 17 1 bicycle_final/111646738161_8.JPG
97 17 1 bicycle_final/111646738161_9.JPG
98 18 1 bicycle_final/111661598505_0.JPG
